Reg,Act,n,n_r1,n_r2,delta_mean,delta_std,student_t_half_width,pruning_radius,confidence_level,stochasticity
1,0,1073,402,671,"[-3.15265519976727e-05,-0.03850011223404627]","[0.0019818669018901234,0.0020013713854392418]","[0.0038905900568008875,0.003928879181911592]",0.00552926601061445,0.95,0.002
1,1,4389,1041,3348,"[6.55064484502167e-05,0.03834593483461392]","[0.0020195586230870254,0.0020228154279085947]","[0.003959805318492256,0.0039661910271844006]",0.00560452758263153,0.95,0.002
1,2,1225,443,782,"[-0.03839055866611247,-0.00010090394895903918]","[0.0019371797184837456,0.0019530169963012647]","[0.0038021115711636987,0.0038331954694056512]",0.005399022125000869,0.95,0.002
1,3,1035,370,665,"[0.038367586377738176,-0.00010314166257922776]","[0.001932570172550605,0.0019992786188313127]","[0.0037940384142085915,0.003925001010721784]",0.005458970637643829,0.95,0.002
2,0,1185,505,680,"[-5.508133049126919e-05,-0.04200599480278884]","[0.002291467461806229,0.002094548205882572]","[0.004497686072923899,0.004111173495450843]",0.00609351520226799,0.95,0.002
2,1,4220,1064,3156,"[1.544544861709337e-05,0.041926970541194715]","[0.0023114291904197184,0.002059060353672261]","[0.0045321548993249965,0.004037320506542127]",0.006069628069661365,0.95,0.002
2,2,1115,490,625,"[-0.03607858619882387,0.00010113050584835856]","[0.002349581176519278,0.00202435585731408]","[0.004612170130970516,0.003973760818679509]",0.006087929727016323,0.95,0.002
2,3,1376,562,814,"[0.03600389294347964,7.729262633379115e-06]","[0.0023189938073034733,0.0021313752192828384]","[0.004550801473025236,0.004182618106583202]",0.006180945580767259,0.95,0.002
3,0,49541,44941,4600,"[1.2680876883624092e-06,-0.035195408616177315]","[0.0021972283554709724,0.002438307599015069]","[0.004306637126209124,0.004779160074504534]",0.006433311305586025,0.95,0.002
3,1,8419,5233,3186,"[3.4766973438006226e-05,0.03520675879407664]","[0.0021689811438990255,0.002428161176209373]","[0.004251988751678345,0.004760075502521271]",0.006382611309965719,0.95,0.002
3,2,71438,67528,3910,"[-0.04319177051925975,1.7469512202582904e-05]","[0.002197155375347779,0.0024488692543100025]","[0.004306448509049118,0.004799810458288714]",0.0064485408579452366,0.95,0.002
3,3,7469,4973,2496,"[0.043193327482205696,-1.2813940052199609e-05]","[0.0021877200291304504,0.002442642275655587]","[0.004288834603426853,0.0047885874682917755]",0.0064284268835409965,0.95,0.002
4,0,53210,9460,43750,"[1.4994309553860767e-06,-0.040026426822117926]","[0.0018971050149662807,0.0025255523038707223]","[0.0037183770267796377,0.004950150673029661]",0.00619114847172789,0.95,0.002
4,1,7511,1916,5595,"[-1.3436121719049527e-05,0.03997651715540343]","[0.0018722064504667392,0.002545030099930917]","[0.00367029300737384,0.004989303491077967]",0.006193884087231541,0.95,0.002
4,2,11934,7458,4476,"[-0.040008498617646604,-3.1151053201028233e-06]","[0.0019079656457407974,0.0025268936814609824]","[0.003740079977977741,0.004953330520184115]",0.00620674483798532,0.95,0.002
4,3,72664,2680,69984,"[0.03999215548034283,-8.6534600977923e-06]","[0.0019021183163361402,0.002537325071038147]","[0.0037281711481632076,0.004973182815239709]",0.006215449092687682,0.95,0.002
5,0,0,0,0,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,0.95,0.002
5,1,0,0,0,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,0.95,0.002
5,2,0,0,0,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,0.95,0.002
5,3,0,0,0,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,0.95,0.002
