Reg,Act,n,n_r1,n_r2,delta_mean,delta_std,student_t_half_width,pruning_radius,confidence_level,stochasticity
1,0,7430,5385,2045,"[9.149455491699088e-06,-0.03839513588130153]","[0.0020040048665711566,0.0019934364071505185]","[0.003928681749218747,0.00390796317994987]",0.005541364137330119,0.95,0.002
1,1,2483,1213,1270,"[1.1304338086445963e-05,0.03842707055437435]","[0.0020026669332858012,0.00202016080208422]","[0.003927860821364099,0.003962171809739312]",0.00557914832944061,0.95,0.002
1,2,4926,3420,1506,"[-0.03840006495721206,4.0681654957194564e-05]","[0.001995887892232557,0.001965331883245996]","[0.003913227137234334,0.0038533176583316715]",0.0054919398761819945,0.95,0.002
1,3,11689,1539,10150,"[0.038402858956792886,-4.235460578379277e-05]","[0.002026945915949395,0.0020033601481063545]","[0.003973322386648918,0.0039270883659778925]",0.005586529676144607,0.95,0.002
2,0,14270,12400,1870,"[3.6725936915670647e-06,-0.04201190061162382]","[0.0023589063830289922,0.0020836064463506123]","[0.004623925769894473,0.004084283128365433]",0.006169445534093378,0.95,0.002
2,1,3701,1987,1714,"[-1.5253178353560547e-05,0.04200002075175729]","[0.002359810359867903,0.0020909944607412976]","[0.00462728181783836,0.004100168731325747]",0.006182484989633122,0.95,0.002
2,2,17323,15253,2070,"[-0.03600547270383659,-7.633318741685048e-06]","[0.0023579559373503897,0.0020811895209984573]","[0.004621965061432253,0.004079459289253205]",0.006164782974426165,0.95,0.002
2,3,3372,1915,1457,"[0.035947053588281604,1.2266709251618754e-05]","[0.0023683178978258067,0.0020755954535495126]","[0.004644173511307266,0.004070156896763624]",0.006175315762566361,0.95,0.002
3,0,17427,16556,871,"[5.274352387844133e-06,-0.035210983420593873]","[0.002186740785535732,0.0024508993558441895]","[0.004286353868253939,0.004804145971078183]",0.00643837308606159,0.95,0.002
3,1,1412,1098,314,"[0.00011293650601486604,0.03517217343282641]","[0.002228094048994603,0.002473113183933762]","[0.004372280713627554,0.004853091852927351]",0.006532177215271283,0.95,0.002
3,2,17086,16372,714,"[-0.043195857822652596,1.706024346781373e-05]","[0.0021914725293654173,0.002452071594653445]","[0.004295637241079844,0.004806453158159126]",0.006446277318618078,0.95,0.002
3,3,1430,1110,320,"[0.04320402578092539,-3.898495812721264e-05]","[0.002154271037039057,0.0024169699154424863]","[0.004227350232514456,0.004742847189771227]",0.006353352615262342,0.95,0.002
4,0,405,162,243,"[-6.929566727284296e-05,-0.04014191009380199]","[0.00203865149111144,0.0024058589934328268]","[0.004012634424799001,0.0047354011513746855]",0.006206871924852543,0.95,0.002
4,1,1209,354,855,"[8.804631990290457e-05,0.03998338658519773]","[0.0018751836665277229,0.0025480909162656096]","[0.003680499749476994,0.005001242356342555]",0.0062095493808146055,0.95,0.002
4,2,624,292,332,"[-0.03986740457968643,-0.00021711221108069786]","[0.0019103297626993816,0.002476510171302591]","[0.00375447041440696,0.004867214211223418]",0.006147017347510284,0.95,0.002
4,3,414,194,220,"[0.04009066276468229,5.378685711662551e-05]","[0.0018946965895275886,0.0025255686683260253]","[0.003728947049215877,0.004970564619897561]",0.0062138199794034244,0.95,0.002
5,0,62094,17919,44175,"[0.0,-0.03999999308129588]","[0.0,4.9051729008549735e-09]","[0.0,9.614227045764555e-09]",9.614227045764555e-09,0.95,0.002
5,1,12637,4582,8055,"[0.0,0.04000000350806375]","[0.0,1.4036390689006994e-08]","[0.0,2.7514544236400333e-08]",2.7514544236400333e-08,0.95,0.002
5,2,46233,40964,5269,"[-0.03999999464570237,0.0]","[8.95427153609847e-09,0.0]","[1.7550698998800634e-08,0.0]",1.7550698998800634e-08,0.95,0.002
5,3,72060,6455,65605,"[0.040000020486594505,0.0]","[5.291291425958209e-09,0.0]","[1.0370986785330567e-08,0.0]",1.0370986785330567e-08,0.95,0.002
