Reg,Act,n,n_r1,n_r2,delta_mean,delta_std,student_t_half_width,pruning_radius,confidence_level,stochasticity
1,0,24429,22074,2355,"[1.555651645640649e-05,-0.03838119534187367]","[0.002009276901798278,0.0020031025885519477]","[0.003938386104835528,0.003926283825913949]",0.005561168024111035,0.95,0.002
1,1,3841,2252,1589,"[2.558661261813478e-05,0.03837080956362741]","[0.0020549419868236074,0.0019870620834287634]","[0.004029406601190055,0.003896305164467693]",0.00560511476174856,0.95,0.002
1,2,19987,18184,1803,"[-0.038409538536871714,2.683972354409886e-06]","[0.0020093764989368465,0.0019888897139015995]","[0.003938642616166765,0.0038984858189459537]",0.00554175940820311,0.95,0.002
1,3,6322,2022,4300,"[0.03842125705813671,-5.790347349645829e-06]","[0.0020011667726437055,0.0020080144271623253]","[0.0039232762314739605,0.003936701019743233]",0.005557851321085868,0.95,0.002
2,0,2500,1265,1235,"[-2.1250027418136597e-05,-0.04203678052127361]","[0.00231949409265133,0.0020349307870378345]","[0.004549237375652619,0.003991121694419552]",0.006051827251310229,0.95,0.002
2,1,4632,2522,2110,"[3.1823935775353293e-05,0.04202264110157218]","[0.0023247994765580485,0.0021227806801348845]","[0.0045582064054257715,0.004162110578169386]",0.006172552964485119,0.95,0.002
2,2,4244,2894,1350,"[-0.03597229924913176,-1.64029256207649e-05]","[0.0023491762707910624,0.0020998378149244185]","[0.004606157253507643,0.004117265827458208]",0.0061780711017271565,0.95,0.002
2,3,2297,1120,1177,"[0.035992227355241255,2.091881291171261e-05]","[0.002398392935960384,0.0020908638910276853]","[0.004704266793594262,0.0041010717739410904]",0.006240906645699001,0.95,0.002
3,0,11433,4791,6642,"[7.145988984968779e-06,-0.03521020541293909]","[0.002183277790345017,0.0024865470416156224]","[0.0042797860955185365,0.004874271840999942]",0.006486531816260425,0.95,0.002
3,1,7816,4109,3707,"[3.438750933712785e-05,0.03517764610759799]","[0.0021924094532414103,0.0024368477581034054]","[0.004297984104215365,0.004777179241421572]",0.006426049242322778,0.95,0.002
3,2,52433,48042,4391,"[-0.04318696391693211,1.240077487863054e-05]","[0.0021979388225800943,0.002449598187988243]","[0.004308021460481236,0.004801280843213617]",0.006450685749544535,0.95,0.002
3,3,50487,3644,46843,"[0.04318530668498283,-2.8098263762168032e-05]","[0.0021874955678735735,0.002443493421049325]","[0.004287557780723722,0.004789321351517707]",0.006428121866544529,0.95,0.002
4,0,22100,919,21181,"[-1.1222353078660922e-05,-0.039999345103405186]","[0.00190666988650372,0.0025430994031826124]","[0.0037372935464021306,0.004984769023022458]",0.006230191430836077,0.95,0.002
4,1,1987,749,1238,"[5.137561911845483e-05,0.0399904908189596]","[0.0018604016285785675,0.00254784905338025]","[0.003649461753189896,0.004997994804120128]",0.006188580059271082,0.95,0.002
4,2,1553,486,1067,"[-0.039950961941530534,-5.032580780046491e-05]","[0.0018747187011952503,0.002560587803876593]","[0.0036784326158110434,0.005024193596309921]",0.006226828069110637,0.95,0.002
4,3,6356,788,5568,"[0.03999613872521174,-4.967074909249216e-05]","[0.0019145488763078085,0.0025569440084610095]","[0.0037534568979352718,0.005012867127581879]",0.0062623698009179295,0.95,0.002
5,0,44536,23437,21099,"[0.0,-0.03999999365551009]","[0.0,4.5997654657322865e-09]","[0.0,9.015720891687058e-09]",9.015720891687058e-09,0.95,0.002
5,1,2873,1296,1577,"[0.0,0.039999994348502516]","[0.0,6.69115913886148e-09]","[0.0,1.3122243234944144e-08]",1.3122243234944144e-08,0.95,0.002
5,2,8907,7016,1891,"[-0.040000001495770765,0.0]","[1.0585282392798224e-08,0.0]","[2.0750756969307613e-08,0.0]",2.0750756969307613e-08,0.95,0.002
5,3,19784,1367,18417,"[0.040000019522908783,0.0]","[6.99139289296544e-09,0.0]","[1.370406302167494e-08,0.0]",1.370406302167494e-08,0.95,0.002
