Reg,Act,n,n_r1,n_r2,delta_mean,delta_std,student_t_half_width,pruning_radius,confidence_level,stochasticity
1,0,24753,21941,2812,"[6.024698429990962e-06,-0.038398940946467494]","[0.00199548460376636,0.001998883113874323]","[0.003911348219877891,0.003918009637578599]",0.0055361940371794,0.95,0.002
1,1,4269,2267,2002,"[1.7625359100540307e-05,0.0383771081557805]","[0.001966808205919501,0.0019406298544797412]","[0.0038564183564341594,0.0038050891649402297]",0.005417625503205983,0.95,0.002
1,2,22982,21158,1824,"[-0.038384426489554084,1.6854721436239912e-05]","[0.002008513302967509,0.0020007286182227115]","[0.003936906729997943,0.0039216478926691455]",0.005556847739031496,0.95,0.002
1,3,6879,2207,4672,"[0.03839169344146561,-5.658785082316718e-06]","[0.001999646158534762,0.001988140669066143]","[0.003920209173364148,0.0038976532200689024]",0.005528086521287623,0.95,0.002
2,0,3570,1765,1805,"[4.345337215925799e-07,-0.04202854883457933]","[0.0023537673394909415,0.0020811449645968746]","[0.004615510550103181,0.004080924388418277]",0.006160915638287937,0.95,0.002
2,1,5083,2632,2451,"[3.400987617711066e-05,0.04199525683432284]","[0.002332724492502456,0.0020860515164238757]","[0.004573594983939971,0.004089962094718548]",0.006135597852968804,0.95,0.002
2,2,5879,4302,1577,"[-0.03598049546123504,2.299342849020179e-05]","[0.0023405776447871615,0.0020802752723823514]","[0.00458878291872839,0.004078451170984005]",0.006139274601230526,0.95,0.002
2,3,2597,1272,1325,"[0.035962120645267485,-2.0851130518577433e-05]","[0.0023392688760747013,0.002143641476663391]","[0.004587904446572715,0.0042042290919308625]",0.006222893978553668,0.95,0.002
3,0,12516,6364,6152,"[2.359884008872372e-06,-0.03522019765821079]","[0.002200835296889801,0.002448782880039462]","[0.0043141474700894526,0.004800182222472591]",0.006453961400769385,0.95,0.002
3,1,7598,3882,3716,"[-4.364139592619704e-05,0.03519250847895417]","[0.002201550286986188,0.0024570637143115377]","[0.0043159308352216244,0.004816840710560555]",0.006467550804232646,0.95,0.002
3,2,50186,46411,3775,"[-0.04319065068653021,7.464446699577012e-07]","[0.002193732464902718,0.002454916573113559]","[0.004299783162098869,0.004811712054368138]",0.0064529611912067615,0.95,0.002
3,3,50108,3893,46215,"[0.04319142054399448,-1.9338414331117023e-05]","[0.002188304346282728,0.002454516820891346]","[0.0042891441100591675,0.004810928782941368]",0.006445292309227639,0.95,0.002
4,0,21709,891,20818,"[-4.88467600658722e-07,-0.039995547026578385]","[0.0019067050481479215,0.0025286314173451774]","[0.0037373676772907588,0.004956417006472741]",0.0062075749449611905,0.95,0.002
4,1,1927,800,1127,"[4.382944193663347e-05,0.04006759546306632]","[0.001875247035344291,0.002609642888965213]","[0.003678681976043388,0.005119350186192178]",0.006304002491253661,0.95,0.002
4,2,1794,789,1005,"[-0.040036102484832775,-9.524372043949838e-05]","[0.0019275826027761926,0.0025359341395549736]","[0.0037815980224680528,0.004975083046214737]",0.006249154736463772,0.95,0.002
4,3,2703,818,1885,"[0.039955657233232224,-4.7691075439326106e-05]","[0.0018734179795925803,0.002564959054740204]","[0.003674156750426413,0.00503041058012615]",0.00622932246968714,0.95,0.002
5,0,41728,21618,20110,"[0.0,-0.039999993794570546]","[0.0,4.778908631153358e-09]","[0.0,9.366872736867426e-09]",9.366872736867426e-09,0.95,0.002
5,1,2911,1255,1656,"[0.0,0.03999999523731041]","[0.0,7.819631314697702e-09]","[0.0,1.5335206356806244e-08]",1.5335206356806244e-08,0.95,0.002
5,2,5509,3473,2036,"[-0.04000000434662734,0.0]","[1.2032370730660525e-08,0.0]","[2.3590337470297385e-08,0.0]",2.3590337470297385e-08,0.95,0.002
5,3,23269,1390,21879,"[0.040000020122945866,0.0]","[5.792175074706312e-09,0.0]","[1.135328905510186e-08,0.0]",1.135328905510186e-08,0.95,0.002
