Reg,Act,n,n_r1,n_r2,delta_mean,delta_std,student_t_half_width,pruning_radius,confidence_level,stochasticity
1,0,1299,700,599,"[2.141855513709981e-05,-0.03839305628254562]","[0.002008460974217597,0.0019481201586397552]","[0.003941701606738145,0.0038232798436228705]",0.005491309526808245,0.95,0.002
1,1,7169,2361,4808,"[7.305381054957387e-06,0.038401994783021295]","[0.0019929664645400875,0.00202405053425338]","[0.003907074650033347,0.0039680128459124745]",0.005568694484909333,0.95,0.002
1,2,1630,907,723,"[-0.038393412265309526,-4.13999784212171e-05]","[0.0019451276086509394,0.0020197224211181107]","[0.0038163848999987465,0.003962741629835816]",0.005501646565326808,0.95,0.002
1,3,1230,650,580,"[0.03839408503315313,-3.649209573016903e-05]","[0.0019260755432094425,0.0020430451794579145]","[0.0037802958651631025,0.00400987140482388]",0.0055108715745690795,0.95,0.002
2,0,1253,630,623,"[3.777468519051933e-06,-0.04197585723063323]","[0.002367718645515941,0.0020145187437440237]","[0.004646987090965768,0.0039537816768964685]",0.006101383332668481,0.95,0.002
2,1,6229,2045,4184,"[5.7846177228813015e-06,0.04195825017116716]","[0.002345438232649298,0.0021154408352264324]","[0.004598237076581706,0.004147326647295951]",0.006192261503830547,0.95,0.002
2,2,1187,685,502,"[-0.03594225182777809,3.1771485104516693e-06]","[0.002320627244112503,0.0020732882260446127]","[0.0045549097185033395,0.004069434552243553]",0.006107986584686468,0.95,0.002
2,3,1489,781,708,"[0.03600761342901284,-4.417638877960881e-05]","[0.0023567435358213553,0.0020362220956713427]","[0.004624444826209243,0.003995511854478704]",0.006111432314108803,0.95,0.002
3,0,44863,40259,4604,"[6.8226732145654245e-06,-0.0351709793206263]","[0.002189197521719866,0.002448415462244036]","[0.004290911885513494,0.004798989083161546]",0.006437563283537077,0.95,0.002
3,1,9128,5208,3920,"[-1.9676388025635405e-05,0.03519625180094004]","[0.0022126052533955306,0.0024560257330582835]","[0.004337439349759928,0.004814624136972362]",0.006480276667948884,0.95,0.002
3,2,68154,64100,4054,"[-0.04319967432874894,6.04419942269673e-06]","[0.002195172028542206,0.002447972971524396]","[0.004302566091428625,0.004798059269646043]",0.006444644887513021,0.95,0.002
3,3,7635,4639,2996,"[0.04320097004734931,6.0127469988206805e-06]","[0.002170908457642199,0.002434516546311666]","[0.004255855786916396,0.004772633915304352]",0.006394555728785474,0.95,0.002
4,0,54261,12100,42161,"[-5.780943671077969e-06,-0.04002973427388614]","[0.0018922031069476435,0.0025198777742612933]","[0.003708766845605063,0.00493902536669704]",0.006176481448845787,0.95,0.002
4,1,9607,3011,6596,"[-7.768389311816574e-06,0.03996385028580945]","[0.0019019093964674355,0.002524489236225552]","[0.003728337695025326,0.004948789041995027]",0.006196048333439372,0.95,0.002
4,2,11796,7091,4705,"[-0.039994815515437016,-9.550902059151093e-06]","[0.0018893895688685534,0.0025339317273029003]","[0.003703672528369315,0.004967135143439586]",0.00619593590433198,0.95,0.002
4,3,71708,4131,67577,"[0.039995968843049026,-1.3498813249367154e-05]","[0.0019044142563036269,0.002535247243091435]","[0.003732672385095148,0.004969111810811423]",0.006214894634891044,0.95,0.002
5,0,0,0,0,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,0.95,0.002
5,1,0,0,0,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,0.95,0.002
5,2,0,0,0,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,0.95,0.002
5,3,0,0,0,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]",0.0,0.95,0.002
