Tile,Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_empirical,Lq_theoretical,lr_source,stochasticity
0,1,0,4.651351399801563,0.0,4.651351399801563,1.0049619587587717,1.0005763927780038,1.0049619587587717,40.32161007944619,307.27787765370744,tile,0.002
0,1,1,2.799640956813089,0.0,2.799640956813089,0.9999821537974807,1.0001994906503595,1.0001994906503595,37.575910089157205,141.36388574235468,tile,0.002
0,1,2,4.678278038070196,0.0,4.678278038070196,1.0059528208942188,1.0002431267799246,1.0059528208942188,39.96193785050556,330.24144136632765,tile,0.002
0,1,3,2.7520252974328194,0.0,2.7520252974328194,1.0000007489564202,1.0001807394308775,1.0001807394308775,30.424338222070958,138.8307825059425,tile,0.002
1,2,0,0.48924592679509715,0.0010055765495242002,0.49025150334462136,0.9996641325176759,1.0001388257991783,1.0001388257991783,38.24221238032349,24.68046313313998,tile,0.002
1,2,1,0.3631303273064549,0.00015457120142712373,0.36328489850788204,0.9997801086395408,1.0000080090831824,1.0000080090831824,44.690076119604996,18.17137619250392,tile,0.002
1,2,2,0.9348870128312788,2.3474067766548255e-05,0.9349104868990454,1.000649045646892,1.0002860109185923,1.000649045646892,45.47767577298407,48.28101695518374,tile,0.002
1,2,3,0.21807257431695698,0.0032527206148113955,0.22132529493176836,1.0000086445667367,0.9994682212022898,1.0000086445667367,35.1658134611207,11.070954223116821,tile,0.002
2,1,0,0.0008064796682983538,0.4107950790872901,0.41160155875558846,1.0049619587587717,1.0005763927780038,1.0049619587587717,38.87574406275589,27.191248852703477,tile,0.002
2,1,1,0.0002502775171732504,0.37789607352703797,0.37814635104421124,0.9999821537974807,1.0001994906503595,1.0001994906503595,40.65837116284027,19.093961828502817,tile,0.002
2,1,2,0.002949972198394769,0.2095508669974066,0.21250083919580137,1.0059528208942188,1.0002431267799246,1.0059528208942188,32.58228756445252,15.000515757401141,tile,0.002
2,1,3,5.344543474791317e-05,0.9039139078954771,0.903967353330225,1.0000007489564202,1.0001807394308775,1.0001807394308775,45.652308774600755,45.60223161456041,tile,0.002
3,5,0,0.0,4.492398276182291,4.492398276182291,1.0,0.9999999933426447,1.0,32.7172611342268,224.61991380911434,tile,0.002
3,5,1,0.0,2.798098124054193,2.798098124054193,0.9999999999171865,1.0000000009401526,1.0000000009401526,29.931655792717642,139.90491264777597,tile,0.002
3,5,2,0.0,2.753111831062886,2.753111831062886,0.9999999929300953,0.9999999816380749,0.9999999929300953,27.921939876865498,137.65554386577733,tile,0.002
3,5,3,0.0,4.336259079925719,4.336259079925719,1.000000013256682,1.0,1.000000013256682,31.2260079725811,216.81309483317523,tile,0.002
4,5,0,1.8760389133894801,0.0,1.8760389133894801,1.0,0.9999999933426447,1.0,50.382653625799804,93.80194566947392,tile,0.002
4,5,1,0.3107362603939909,1.1356246459154316e-06,0.3107373960186368,0.9999999999171865,1.0000000009401526,1.0000000009401526,38.76038372915424,15.536870516676261,tile,0.002
4,5,2,1.1579878558869738,3.952226712707698e-08,1.157987895409241,0.9999999929300953,0.9999999816380749,0.9999999929300953,47.134113245628924,57.89937471265217,tile,0.002
4,5,3,0.5218294136263952,8.839715194646697e-07,0.5218302975979147,1.000000013256682,1.0,1.000000013256682,42.2237015640111,26.091531828365483,tile,0.002
5,3,0,0.12055288538660791,0.00039714941324628394,0.1209500347998542,1.000970738587633,1.000737440045717,1.000970738587633,37.040597435391376,6.349524430505368,tile,0.002
5,3,1,0.009816013836524006,0.0005147908190073467,0.010330804655531354,1.000778380592026,1.0005132018713743,1.000778380592026,31.660939017319876,0.5370226241960706,tile,0.002
5,3,2,0.0883288526188102,9.086567772461618e-06,0.08833793918658266,1.003775768437888,1.0005690334102213,1.003775768437888,42.2754938947744,5.4195896145652265,tile,0.002
5,3,3,0.01259583287074004,0.0011617927061128108,0.013757625576852851,1.0007135516563634,1.0032175533171086,1.0032175533171086,36.64838075941579,0.8166314917313426,tile,0.002
6,3,0,0.00035454096210251097,0.05455311843450723,0.05490765939660974,1.000970738587633,1.000737440045717,1.000970738587633,37.91770760016412,2.882492140970111,tile,0.002
6,3,1,0.0005456654602564455,0.008595533583338696,0.00914119904359514,1.000778380592026,1.0005132018713743,1.000778380592026,36.734099652845416,0.4751837695490315,tile,0.002
6,3,2,0.0011523918715295102,0.009992315505687955,0.011144707377217466,1.003775768437888,1.0005690334102213,1.003775768437888,40.1861964616633,0.6837349944440424,tile,0.002
6,3,3,1.852921479926641e-05,0.08143591014417714,0.08145443935897641,1.0007135516563634,1.0032175533171086,1.0032175533171086,37.42382408927481,4.835010223986456,tile,0.002
7,4,0,0.0,1.8744348092914267,1.8744348092914267,1.0007223723687428,1.005160051926774,1.005160051926774,46.71150608954785,125.43773707083606,tile,0.002
