Reg,Act,n,n_r1,n_r2,delta_mean,delta_std,student_t_half_width,pruning_radius,confidence_level,stochasticity
1,0,6478,3200,3278,"[7.877608081317263e-06,-0.03842352145110228]","[0.0020161215754336674,0.0020303151105245452]","[0.00395256927931853,0.0039803954438954675]",0.005609487659100107,0.95,0.002
1,1,2442,1112,1330,"[7.038623242151605e-05,0.038391908424785154]","[0.0019250479223503242,0.0020449372420044787]","[0.0037756691865276546,0.00401081263659787]",0.005508384138019747,0.95,0.002
1,2,3369,1739,1630,"[-0.03841822067290571,5.355352059608775e-05]","[0.0020198870710525134,0.0019967884692688965]","[0.003960916851266306,0.003915621427399989]",0.0055696457217097135,0.95,0.002
1,3,10230,1164,9066,"[0.03842095555855964,-8.334693543745873e-06]","[0.002015176133350999,0.0020099526970731815]","[0.0039503331120673,0.003940093653120987]",0.005579378970070021,0.95,0.002
2,0,21701,19640,2061,"[2.1476494096445106e-05,-0.04199914591105642]","[0.002380702129057995,0.002103918003864608]","[0.004666458219894497,0.004123928543300284]",0.006227569264831,0.95,0.002
2,1,7182,3374,3808,"[1.1292592249136389e-05,0.04203501706815835]","[0.0023749245068737314,0.0020471185652251346]","[0.004655875296179204,0.004013234411702613]",0.006146806098848882,0.95,0.002
2,2,19511,16662,2849,"[-0.035988992795804114,2.9613619660629765e-06]","[0.0023646255022175306,0.002086310547196344]","[0.004634987133975881,0.004089452023022144]",0.006181158757120048,0.95,0.002
2,3,3525,2072,1453,"[0.03600289132683835,-5.427049406876801e-06]","[0.0023704213960000827,0.0020665006003171504]","[0.004648195991690293,0.004052233001030265]",0.006166548327209028,0.95,0.002
3,0,16396,15219,1177,"[1.8007667281173685e-05,-0.035197415582587564]","[0.0022113240283796174,0.0024338655799323416]","[0.004334567621724974,0.004770786552767712]",0.006445842132675583,0.95,0.002
3,1,1671,1128,543,"[2.397059207700777e-05,0.035053805028434505]","[0.0021370612562813082,0.002473488596131952]","[0.0041928550326662305,0.004852916161411715]",0.006413332097642032,0.95,0.002
3,2,17624,16262,1362,"[-0.043203902937500614,1.5995306847218057e-05]","[0.002210943536275151,0.0024414316094099066]","[0.004333790289221986,0.004785582457020061]",0.006456278937893943,0.95,0.002
3,3,1642,1150,492,"[0.04320874134811429,-0.00013728217334631462]","[0.0022094654747742645,0.0025246214739945557]","[0.004334988562502707,0.004953327100770048]",0.0065823685102136525,0.95,0.002
4,0,552,274,278,"[-3.6293239184263825e-05,-0.03999907113071801]","[0.0018915396178166574,0.0025074007400374457]","[0.0037188749368942857,0.004929693082314951]",0.0061751036171131864,0.95,0.002
4,1,6269,1906,4363,"[-6.382255999926727e-06,0.04001152507805106]","[0.0019001498820215128,0.002498097016902023]","[0.003725241707256091,0.004897516392883202]",0.006153299326055898,0.95,0.002
4,2,755,337,418,"[-0.039965570574959385,-6.427370159831268e-05]","[0.0018912958964908816,0.002478798336681411]","[0.0037152897440366215,0.004869388261717663]",0.006124893462379363,0.95,0.002
4,3,512,245,267,"[0.0399532452938729,-0.0001759190345183015]","[0.0018178321514498853,0.0025229577034748037]","[0.0035748302917244855,0.004961484269011189]",0.006115205455769778,0.95,0.002
5,0,44273,9917,34356,"[0.0,-0.03999999399706656]","[0.0,6.012349624028399e-09]","[0.0,1.178444398613975e-08]",1.178444398613975e-08,0.95,0.002
5,1,36228,11523,24705,"[0.0,0.040000010108842785]","[0.0,1.4269870917129752e-08]","[0.0,2.7969753549569077e-08]",2.7969753549569077e-08,0.95,0.002
5,2,43682,37376,6306,"[-0.039999994432133125,0.0]","[8.662897080979691e-09,0.0]","[1.6979631118223944e-08,0.0]",1.6979631118223944e-08,0.95,0.002
5,3,54357,4790,49567,"[0.04000002015114427,0.0]","[6.101740249098649e-09,0.0]","[1.1959567444646862e-08,0.0]",1.1959567444646862e-08,0.95,0.002
