Reg,Act,n,n_r1,n_r2,n_fit,n_calibration,mean_delta,mean_conf_radius_vec,mean_conf_radius,predictive_radius_vec,predictive_radius,pruning_radius_semantics,stochasticity
1,0,1288,782,506,1288,0,"[8.126686078421079e-07,-0.03839981389341887]","[4.4575908880267115e-06,4.397550695917705e-06]",6.261674588174082e-06,"[4.4575908880267115e-06,4.397550695917705e-06]",6.261674588174082e-06,unspecified,8e-05
1,1,5244,3650,1594,5244,0,"[1.8371847365122548e-07,0.036796669517647304]","[2.138386420920967e-06,0.00020800641228610315]",0.00020801740371570237,"[2.138386420920967e-06,0.00020800641228610315]",0.00020801740371570237,unspecified,8e-05
1,2,1417,978,439,1417,0,"[-0.038400783514421256,-1.8000013826595029e-06]","[4.189419920927408e-06,4.299469394899585e-06]",6.003055584578709e-06,"[4.189419920927408e-06,4.299469394899585e-06]",6.003055584578709e-06,unspecified,8e-05
1,3,1265,814,451,1265,0,"[0.03797803499953078,-1.2120239348279628e-06]","[0.00022194514630788058,4.370402629134366e-06]",0.00022198817173166516,"[0.00022194514630788058,4.370402629134366e-06]",0.00022198817173166516,unspecified,8e-05
2,0,1313,754,559,1313,0,"[1.983784892198559e-06,-0.04200300342784251]","[5.036208049478372e-06,4.552690039235929e-06]",6.788989476423482e-06,"[5.036208049478372e-06,4.552690039235929e-06]",6.788989476423482e-06,unspecified,8e-05
2,1,4847,3121,1726,4847,0,"[6.184995936067272e-07,0.041117107828843466]","[2.649862729855461e-06,0.0001697806150425044]",0.00016980129274153996,"[2.649862729855461e-06,0.0001697806150425044]",0.00016980129274153996,unspecified,8e-05
2,2,1394,829,565,1394,0,"[-0.03507316850416057,2.549766125945826e-06]","[0.00030007834170524934,4.4855294384352275e-06]",0.0003001118643687974,"[0.00030007834170524934,4.4855294384352275e-06]",0.0003001118643687974,unspecified,8e-05
2,3,1532,875,657,1532,0,"[0.035998928205015296,3.0881586647531693e-06]","[4.800634985596403e-06,4.198319438850853e-06]",6.3774589277834726e-06,"[4.800634985596403e-06,4.198319438850853e-06]",6.3774589277834726e-06,unspecified,8e-05
3,0,42781,38600,4181,42781,0,"[-1.1852059935398249e-07,-0.03509508454287032]","[8.256844301518154e-07,1.8171774764460117e-05]",1.8190523710670473e-05,"[8.256844301518154e-07,1.8171774764460117e-05]",1.8190523710670473e-05,unspecified,8e-05
3,1,7728,5202,2526,7728,0,"[-1.0529820993831902e-06,0.03519778867930899]","[1.9549211191471506e-06,2.160598059961334e-06]",2.9137433927503344e-06,"[1.9549211191471506e-06,2.160598059961334e-06]",2.9137433927503344e-06,unspecified,8e-05
3,2,62449,58820,3629,62449,0,"[-0.04305085047009787,3.015024931570007e-07]","[1.9856905228697405e-05,7.719212026160398e-07]",1.987190347210147e-05,"[1.9856905228697405e-05,7.719212026160398e-07]",1.987190347210147e-05,unspecified,8e-05
3,3,7808,4420,3388,7808,0,"[0.04320099626927346,-1.4002045317596877e-06]","[1.9336864561596494e-06,2.1969063445015805e-06]",2.926694517240664e-06,"[1.9336864561596494e-06,2.1969063445015805e-06]",2.926694517240664e-06,unspecified,8e-05
4,0,58231,11588,46643,58231,0,"[-5.655393839410618e-07,-0.03983102278195627]","[6.180011025439813e-07,2.1084917915888464e-05]",2.1093972809371398e-05,"[6.180011025439813e-07,2.1084917915888464e-05]",2.1093972809371398e-05,unspecified,8e-05
4,1,9015,3628,5387,9015,0,"[-4.005346176562148e-07,0.04000006162221076]","[1.5955937286132454e-06,2.1075348194225186e-06]",2.643411122369774e-06,"[1.5955937286132454e-06,2.1075348194225186e-06]",2.643411122369774e-06,unspecified,8e-05
4,2,12765,7641,5124,12765,0,"[-0.04000020312693275,-7.526542865499764e-07]","[1.3152745510083029e-06,1.7406347373032963e-06]",2.181686602891673e-06,"[1.3152745510083029e-06,1.7406347373032963e-06]",2.181686602891673e-06,unspecified,8e-05
4,3,80923,8298,72625,80923,0,"[0.03992979632702265,-1.8872120038671376e-07]","[1.1505013808041986e-05,6.965650292185556e-07]",1.1526081101708724e-05,"[1.1505013808041986e-05,6.965650292185556e-07]",1.1526081101708724e-05,unspecified,8e-05
