Reg,Act,n,n_r1,n_r2,n_fit,n_calibration,mean_delta,mean_conf_radius_vec,mean_conf_radius,predictive_radius_vec,predictive_radius,pruning_radius_semantics,stochasticity
1,0,1103,633,470,1103,0,"[0.0,-0.03839999437332153]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
1,1,4755,2298,2457,4755,0,"[0.0,0.03839999437332153]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
1,2,1485,856,629,1485,0,"[-0.03839999437332153,0.0]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
1,3,1099,614,485,1099,0,"[0.03839999437332153,0.0]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
2,0,1287,662,625,1287,0,"[0.0,-0.041999995708465576]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
2,1,4373,1745,2628,4373,0,"[0.0,0.041999995708465576]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
2,2,1333,672,661,1333,0,"[-0.03600000918179817,0.0]","[4.291249055561759e-10,0.0]",4.291249055561759e-10,"[4.291249055561759e-10,0.0]",4.291249055561759e-10,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
2,3,1820,822,998,1820,0,"[0.03600001009897544,0.0]","[3.4793501814163157e-10,0.0]",3.4793501814163157e-10,"[3.4793501814163157e-10,0.0]",3.4793501814163157e-10,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
3,0,51650,42609,9041,51650,0,"[-7.504193299724513e-06,-0.0352495647177807]","[9.476757160485672e-05,0.00010525390076815901]",0.00014163077439170878,"[9.476757160485672e-05,0.00010525390076815901]",0.00014163077439170878,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
3,1,8624,5055,3569,8624,0,"[0.00014628761267471054,0.03518748276966109]","[0.00022928160905779114,0.0002587358175477299]",0.0003457083735379025,"[0.00022928160905779114,0.0002587358175477299]",0.0003457083735379025,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
3,2,73415,63465,9950,73415,0,"[-0.04311263651352954,5.9486315279986505e-05]","[7.941254781295185e-05,8.893022185289317e-05]",0.0001192264111216519,"[7.941254781295185e-05,8.893022185289317e-05]",0.0001192264111216519,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
3,3,8104,4407,3697,8104,0,"[0.043295295826073915,0.00017631522534298597]","[0.00023901002229372432,0.0002685214280757916]",0.00035948511525890625,"[0.00023901002229372432,0.0002685214280757916]",0.00035948511525890625,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
4,0,51127,10879,40248,51127,0,"[-1.3390480090524112e-05,-0.040093874810549684]","[8.18415076534209e-05,0.00010931971372274929]",0.0001365607270902173,"[8.18415076534209e-05,0.00010931971372274929]",0.0001365607270902173,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
4,1,7395,2686,4709,7395,0,"[-0.0001508417405172971,0.03987772041998496]","[0.00021717512787658772,0.0002863993661917972]",0.00035942959411166376,"[0.00021717512787658772,0.0002863993661917972]",0.00035942959411166376,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
4,2,11949,7838,4111,11949,0,"[-0.04005010322662904,-0.00011172877399458034]","[0.00017103855006775094,0.00022600867731797575]",0.0002834327218799894,"[0.00017103855006775094,0.00022600867731797575]",0.0002834327218799894,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
4,3,68624,3866,64758,68624,0,"[0.03992549557039915,-4.529710455345577e-05]","[7.101819588258969e-05,9.477857154990112e-05]",0.00011843378644397724,"[7.101819588258969e-05,9.477857154990112e-05]",0.00011843378644397724,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.01
