Reg,Act,n,n_r1,n_r2,n_fit,n_calibration,mean_delta,mean_conf_radius_vec,mean_conf_radius,predictive_radius_vec,predictive_radius,pruning_radius_semantics,stochasticity
1,0,988,515,473,988,0,"[-9.310329973938976e-06,-0.03841083581269029]","[1.486298705700883e-05,1.5071245002417368e-05]",2.116721073216078e-05,"[1.486298705700883e-05,1.5071245002417368e-05]",2.116721073216078e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
1,1,4739,1637,3102,4739,0,"[-2.7541773156743435e-06,0.03755163916255583]","[6.851434401495069e-06,0.00016032101284033082]",0.0001604673465584432,"[6.851434401495069e-06,0.00016032101284033082]",0.0001604673465584432,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
1,2,1199,569,630,1199,0,"[-0.03839587837184242,-4.1148332479698044e-06]","[1.3585096090942254e-05,1.3484490350894917e-05]",1.9141220332661985e-05,"[1.3585096090942254e-05,1.3484490350894917e-05]",1.9141220332661985e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
1,3,949,466,483,949,0,"[0.0378332088443326,-6.052729201643434e-06]","[0.0002959030731466897,1.573447599118582e-05]",0.00029632111371343824,"[0.0002959030731466897,1.573447599118582e-05]",0.00029632111371343824,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
2,0,1144,535,609,1144,0,"[3.967304727049557e-06,-0.042001055722886864]","[1.6321875233696297e-05,1.4286113551141217e-05]",2.1690934777930833e-05,"[1.6321875233696297e-05,1.4286113551141217e-05]",2.1690934777930833e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
2,1,4796,1491,3305,4796,0,"[1.4497627239298383e-06,0.04031451252771478]","[8.08412831042198e-06,0.00023383189056350016]",0.00023397159266680235,"[8.08412831042198e-06,0.00023383189056350016]",0.00023397159266680235,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
2,2,1288,584,704,1288,0,"[-0.03496309328225574,-4.867913189882076e-06]","[0.0003301947451941756,1.3420498507002581e-05]",0.0003304673653086232,"[0.0003301947451941756,1.3420498507002581e-05]",0.0003304673653086232,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
2,3,1536,617,919,1536,0,"[0.03600349249851812,1.5359061459700267e-06]","[1.3946224739336661e-05,1.2792443753462006e-05]",1.8924687623989334e-05,"[1.3946224739336661e-05,1.2792443753462006e-05]",1.8924687623989334e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
3,0,45167,37720,7447,45167,0,"[1.9103723279398585e-06,-0.03509820760316739]","[2.4253821165666905e-06,1.7534373986832722e-05]",1.770132055868933e-05,"[2.4253821165666905e-06,1.7534373986832722e-05]",1.770132055868933e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
3,1,8429,4526,3903,8429,0,"[-1.3917091111756967e-06,0.03519784634706812]","[5.549682799533845e-06,6.2241556437157934e-06]",8.339010292153439e-06,"[5.549682799533845e-06,6.2241556437157934e-06]",8.339010292153439e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
3,2,68985,63343,5642,68985,0,"[-0.043000408150120004,1.2459322978117557e-06]","[2.192408491809325e-05,2.197853490724065e-06]",2.2033975117133355e-05,"[2.192408491809325e-05,2.197853490724065e-06]",2.2033975117133355e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
3,3,8900,4215,4685,8900,0,"[0.04320369836403413,-5.8339092242165225e-06]","[5.49517059383792e-06,6.033703136914755e-06]",8.161033843809002e-06,"[5.49517059383792e-06,6.033703136914755e-06]",8.161033843809002e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
4,0,57446,15494,41952,57446,0,"[-1.6157148077192195e-08,-0.039753802685708786]","[1.860487394889261e-06,2.5725292870451732e-05]",2.5792481590902736e-05,"[1.860487394889261e-06,2.5725292870451732e-05]",2.5792481590902736e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
4,1,8363,2989,5374,8363,0,"[-2.192806630246907e-06,0.03999323239651334]","[4.807832850195749e-06,6.542829872985251e-06]",8.119352157792491e-06,"[4.807832850195749e-06,6.542829872985251e-06]",8.119352157792491e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
4,2,11421,6982,4439,11421,0,"[-0.0400013711628673,-3.58960156184805e-06]","[4.129511527735177e-06,5.569863911604338e-06]",6.933703876824428e-06,"[4.129511527735177e-06,5.569863911604338e-06]",6.933703876824428e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
4,3,74650,8317,66333,74650,0,"[0.03990438401180071,-2.348325857981523e-06]","[1.404629469319473e-05,2.185704823227804e-06]",1.4215333277216954e-05,"[1.404629469319473e-05,2.185704823227804e-06]",1.4215333277216954e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00024
