Reg,Act,n,n_r1,n_r2,n_fit,n_calibration,mean_delta,mean_conf_radius_vec,mean_conf_radius,predictive_radius_vec,predictive_radius,pruning_radius_semantics,stochasticity
1,0,1091,660,431,1091,0,"[-3.901427213911831e-06,-0.03840468016706619]","[9.630497786998432e-06,9.28536846489892e-06]",1.3377763458602526e-05,"[9.630497786998432e-06,9.28536846489892e-06]",1.3377763458602526e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
1,1,3556,2349,1207,3556,0,"[5.130592159532991e-07,0.03519816619539958]","[5.33529829557918e-06,0.0003487715687207416]",0.00034881237443048065,"[5.33529829557918e-06,0.0003487715687207416]",0.00034881237443048065,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
1,2,1318,763,555,1318,0,"[-0.03839621951800738,-4.854138053060482e-06]","[8.464971802361195e-06,8.843755035045345e-06]",1.2242048469707185e-05,"[8.464971802361195e-06,8.843755035045345e-06]",1.2242048469707185e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
1,3,1129,662,467,1129,0,"[0.03778841196698779,4.290742510921455e-06]","[0.0002813588054016945,9.567299709922306e-06]",0.0002815214212112607,"[0.0002813588054016945,9.567299709922306e-06]",0.0002815214212112607,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
2,0,963,500,463,963,0,"[6.18630536635593e-07,-0.04199275628181014]","[1.2077952736403733e-05,1.099589388204157e-05]",1.6333604151194605e-05,"[1.2077952736403733e-05,1.099589388204157e-05]",1.6333604151194605e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
2,1,3139,1846,1293,3139,0,"[3.0905084418059916e-06,0.03959856241438259]","[6.537062882256063e-06,0.00034085023223664015]",0.00034091291264324105,"[6.537062882256063e-06,0.00034085023223664015]",0.00034091291264324105,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
2,2,987,493,494,987,0,"[-0.03526578580167073,6.442978268577939e-06]","[0.00031715608059334696,1.0729413422674484e-05]",0.00031733751711659976,"[0.00031715608059334696,1.0729413422674484e-05]",0.00031733751711659976,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
2,3,1219,575,644,1219,0,"[0.03600472642125606,1.0170439797605619e-08]","[1.1088130702064814e-05,9.427998718481084e-06]",1.4554511407180706e-05,"[1.1088130702064814e-05,9.427998718481084e-06]",1.4554511407180706e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
3,0,43817,38172,5645,43817,0,"[1.7011405900418303e-07,-0.035027106508219975]","[1.629566449211013e-06,2.316175796408895e-05]",2.321901201169921e-05,"[1.629566449211013e-06,2.316175796408895e-05]",2.321901201169921e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
3,1,7849,5109,2740,7849,0,"[-2.1120968907143635e-06,0.03520000481982568]","[3.860778887388662e-06,4.232987579888802e-06]",5.729205657750373e-06,"[3.860778887388662e-06,4.232987579888802e-06]",5.729205657750373e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
3,2,67264,62747,4517,67264,0,"[-0.04302759892096143,1.4231557565381514e-06]","[2.057612511133151e-05,1.4819939929903268e-06]",2.0629426332121467e-05,"[2.057612511133151e-05,1.4819939929903268e-06]",2.0629426332121467e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
3,3,8213,4375,3838,8213,0,"[0.04319772768743462,-1.1625623819182954e-06]","[3.8095315433272786e-06,4.221603801665868e-06]",5.686340584052737e-06,"[3.8095315433272786e-06,4.221603801665868e-06]",5.686340584052737e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
4,0,60108,14230,45878,60108,0,"[-1.240320617252857e-07,-0.03982913116537649]","[1.2146538955116612e-06,2.097451940077133e-05]",2.100966082970438e-05,"[1.2146538955116612e-06,2.097451940077133e-05]",2.100966082970438e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
4,1,7775,3044,4731,7775,0,"[2.1773787556737184e-06,0.039997546395400714]","[3.3595098496266034e-06,4.45237415342517e-06]",5.57762871046708e-06,"[3.3595098496266034e-06,4.45237415342517e-06]",5.57762871046708e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
4,2,11698,7072,4626,11698,0,"[-0.040002131825390995,-1.7882801477825513e-06]","[2.7382410638806736e-06,3.6835159141399263e-06]",4.589798864181791e-06,"[2.7382410638806736e-06,3.6835159141399263e-06]",4.589798864181791e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
4,3,79874,7403,72471,79874,0,"[0.03990859811867227,-1.3747459402619146e-06]","[1.3236690936583492e-05,1.406085938119787e-06]",1.3311163157891565e-05,"[1.3236690936583492e-05,1.406085938119787e-06]",1.3311163157891565e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00016
