Reg,Act,n,n_r1,n_r2,n_fit,n_calibration,mean_delta,mean_conf_radius_vec,mean_conf_radius,predictive_radius_vec,predictive_radius,pruning_radius_semantics,stochasticity
1,0,1225,761,464,1225,0,"[0.0,-0.03839999437332153]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
1,1,5852,4120,1732,5852,0,"[0.0,0.03839999437332153]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
1,2,1441,884,557,1441,0,"[-0.03839999437332153,0.0]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
1,3,1158,722,436,1158,0,"[0.03839999437332153,0.0]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
2,0,1247,643,604,1247,0,"[0.0,-0.041999995708465576]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
2,1,5184,3398,1786,5184,0,"[0.0,0.041999995708465576]","[0.0,0.0]",0.0,"[0.0,0.0]",0.0,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
2,2,1323,711,612,1323,0,"[-0.03600000716796538,0.0]","[4.579224620412464e-10,0.0]",4.579224620412464e-10,"[4.579224620412464e-10,0.0]",4.579224620412464e-10,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
2,3,1652,785,867,1652,0,"[0.03600000806567744,0.0]","[4.1196562194995903e-10,0.0]",4.1196562194995903e-10,"[4.1196562194995903e-10,0.0]",4.1196562194995903e-10,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
3,0,43736,37436,6300,43736,0,"[3.334270963306446e-05,-0.03516613117093638]","[3.101698559210067e-05,3.4403694667993493e-05]",4.632135147023567e-05,"[3.101698559210067e-05,3.4403694667993493e-05]",4.632135147023567e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
3,1,9091,5710,3381,9091,0,"[3.0873522342182643e-06,0.03520339576521535]","[6.778345586772852e-05,7.409356828666582e-05]",0.00010042138094461314,"[6.778345586772852e-05,7.409356828666582e-05]",0.00010042138094461314,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
3,2,64827,59064,5763,64827,0,"[-0.04319838898850524,4.941338632376297e-06]","[2.5230853320395133e-05,2.8275299809730627e-05]",3.789575884720409e-05,"[2.5230853320395133e-05,2.8275299809730627e-05]",3.789575884720409e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
3,3,7971,4464,3507,7971,0,"[0.04321665786278695,-7.64042682909041e-06]","[7.12062552643354e-05,8.130253713754174e-05]",0.00010807605347055862,"[7.12062552643354e-05,8.130253713754174e-05]",0.00010807605347055862,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
4,0,56401,12811,43590,56401,0,"[-1.3323238632725103e-05,-0.04001989555116404]","[2.3522766937481627e-05,3.124489130983462e-05]",3.910963816450438e-05,"[2.3522766937481627e-05,3.124489130983462e-05]",3.910963816450438e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
4,1,8698,3904,4794,8698,0,"[-4.404100036314094e-06,0.03999133312817304]","[5.986128667209682e-05,7.921207902459404e-05]",9.928709435489331e-05,"[5.986128667209682e-05,7.921207902459404e-05]",9.928709435489331e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
4,2,11432,6962,4470,11432,0,"[-0.04001939007354166,-4.602907430132925e-05]","[5.1901078618732384e-05,7.002746174855192e-05]",8.716402561110141e-05,"[5.1901078618732384e-05,7.002746174855192e-05]",8.716402561110141e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
4,3,76263,6111,70152,76263,0,"[0.03999287660733134,-2.3939938472136614e-05]","[2.015947774442478e-05,2.692506555512283e-05]",3.363575029749775e-05,"[2.015947774442478e-05,2.692506555512283e-05]",3.363575029749775e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta; estimated only on transitions not affected by boundary cancel/clip,0.003
