Reg,Act,n,n_r1,n_r2,n_fit,n_calibration,mean_delta,mean_conf_radius_vec,mean_conf_radius,predictive_radius_vec,predictive_radius,pruning_radius_semantics,stochasticity
1,0,876,409,467,876,0,"[-1.2153768103960986e-05,-0.0384060409787583]","[2.0821758362203973e-05,2.1726294123771164e-05]",3.009281438560748e-05,"[2.0821758362203973e-05,2.1726294123771164e-05]",3.009281438560748e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
1,1,2922,1026,1896,2922,0,"[-2.178455933081949e-06,0.03709871109261405]","[1.1641323729444848e-05,0.00025172754835170235]",0.00025199658532871507,"[1.1641323729444848e-05,0.00025172754835170235]",0.00025199658532871507,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
1,2,1066,532,534,1066,0,"[-0.038400893559151696,-3.259020943131724e-06]","[1.8901973919993152e-05,1.9133350683761226e-05]",2.689553357827071e-05,"[1.8901973919993152e-05,1.9133350683761226e-05]",2.689553357827071e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
1,3,908,464,444,908,0,"[0.03771810975368853,8.255046369745867e-06]","[0.0003306540369357068,2.0430161430022757e-05]",0.00033128459613742463,"[0.0003306540369357068,2.0430161430022757e-05]",0.00033128459613742463,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
2,0,1184,519,665,1184,0,"[-1.0891084835330312e-05,-0.042012065195956745]","[2.1345813368860863e-05,1.8743273181080245e-05]",2.8406936440222504e-05,"[2.1345813368860863e-05,1.8743273181080245e-05]",2.8406936440222504e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
2,1,3109,950,2159,3109,0,"[-1.5065679586893586e-05,0.03960039194621776]","[1.3248314582127806e-05,0.00034199887856985336]",0.00034225538824436984,"[1.3248314582127806e-05,0.00034199887856985336]",0.00034225538824436984,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
2,2,1200,508,692,1200,0,"[-0.03475071716146885,-1.0641813278198242e-05]","[0.00037197948497217124,1.8743044585857284e-05]",0.00037245139140632726,"[0.00037197948497217124,1.8743044585857284e-05]",0.00037245139140632726,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
2,3,1322,480,842,1322,0,"[0.03599386865698624,3.7911169106949475e-06]","[2.0504308837238365e-05,1.8146739721192674e-05]",2.7381213329609102e-05,"[2.0504308837238365e-05,1.8146739721192674e-05]",2.7381213329609102e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
3,0,52953,45327,7626,52953,0,"[9.907409384973812e-08,-0.03508279199690285]","[2.9857104976311204e-06,1.7650547046941463e-05]",1.790129264136975e-05,"[2.9857104976311204e-06,1.7650547046941463e-05]",1.790129264136975e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
3,1,7988,5052,2936,7988,0,"[-2.5144300175837484e-06,0.03519766528437331]","[7.651541051997516e-06,8.640960326381657e-06]",1.1541762249869171e-05,"[7.651541051997516e-06,8.640960326381657e-06]",1.1541762249869171e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
3,2,73741,67956,5785,73741,0,"[-0.0429690256829944,1.454110496356198e-06]","[2.279516467376569e-05,2.828477383368494e-06]",2.2969976421675366e-05,"[2.279516467376569e-05,2.828477383368494e-06]",2.2969976421675366e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
3,3,8549,4750,3799,8549,0,"[0.043205499122652875,-2.509412809017667e-07]","[7.427069091389463e-06,8.309924212986555e-06]",1.1145231972186711e-05,"[7.427069091389463e-06,8.309924212986555e-06]",1.1145231972186711e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
4,0,52203,8753,43450,52203,0,"[-1.5750181706242207e-06,-0.039813758576530786]","[2.596228505368857e-06,2.390361521542027e-05]",2.4044193120563668e-05,"[2.596228505368857e-06,2.390361521542027e-05]",2.4044193120563668e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
4,1,7018,2263,4755,7018,0,"[3.2156739828762554e-06,0.03999399859325503]","[7.0770133363949285e-06,9.54470398587924e-06]",1.1882150139666252e-05,"[7.0770133363949285e-06,9.54470398587924e-06]",1.1882150139666252e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
4,2,12181,7757,4424,12181,0,"[-0.04000265389746921,-3.740408807759283e-07]","[5.4059090085210894e-06,7.195399090357467e-06]",8.999867792247091e-06,"[5.4059090085210894e-06,7.195399090357467e-06]",8.999867792247091e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
4,3,72780,3254,69526,72780,0,"[0.039936816839766916,-4.312696771485837e-07]","[1.1756800665717324e-05,2.948646187711333e-06]",1.2120927201898206e-05,"[1.1756800665717324e-05,2.948646187711333e-06]",1.2120927201898206e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.00032
