Reg,Act,n,n_r1,n_r2,n_fit,n_calibration,mean_delta,mean_conf_radius_vec,mean_conf_radius,predictive_radius_vec,predictive_radius,pruning_radius_semantics,stochasticity
1,0,1098,548,550,1098,0,"[-1.8763656173247458e-05,-0.03840953849921027]","[2.3863503320516994e-05,2.4130108010055057e-05]",3.393713163049065e-05,"[2.3863503320516994e-05,2.4130108010055057e-05]",3.393713163049065e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
1,1,5492,1449,4043,5492,0,"[-6.630311286631763e-07,0.03709257075540011]","[1.0547214344826474e-05,0.00018495120269846425]",0.00018525169664552097,"[1.0547214344826474e-05,0.00018495120269846425]",0.00018525169664552097,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
1,2,1212,569,643,1212,0,"[-0.03838598637199245,-5.882639105957334e-06]","[2.3077816490908283e-05,2.1803058740996667e-05]",3.174836979202853e-05,"[2.3077816490908283e-05,2.1803058740996667e-05]",3.174836979202853e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
1,3,1061,527,534,1061,0,"[0.03790805797100517,8.117270626963365e-06]","[0.0002568036416011194,2.4163026493301838e-05]",0.0002579379037460609,"[0.0002568036416011194,2.4163026493301838e-05]",0.0002579379037460609,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
2,0,1310,658,652,1310,0,"[8.651874212988915e-06,-0.04200064580859119]","[2.583427479334632e-05,2.306390212475104e-05]",3.463168109286964e-05,"[2.583427479334632e-05,2.306390212475104e-05]",3.463168109286964e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
2,1,5328,1459,3869,5328,0,"[-1.850511943666242e-07,0.04073978579035392]","[1.2480020223939837e-05,0.00019294649107411596]",0.0001933496814649661,"[1.2480020223939837e-05,0.00019294649107411596]",0.0001933496814649661,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
2,2,1409,763,646,1409,0,"[-0.035176423683827326,1.473964910459823e-05]","[0.000283115903321345,2.1942899946287272e-05]",0.00028396497243764754,"[0.000283115903321345,2.1942899946287272e-05]",0.00028396497243764754,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
2,3,1694,833,861,1694,0,"[0.03599172360412205,-9.867629869769568e-06]","[2.3020758839665302e-05,1.996838058684481e-05]",3.0474441107510222e-05,"[2.3020758839665302e-05,1.996838058684481e-05]",3.0474441107510222e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
3,0,49167,43479,5688,49167,0,"[-2.1856185038400472e-06,-0.035113471209930296]","[3.877053070335141e-06,1.6177454774050535e-05]",1.6635551793572872e-05,"[3.877053070335141e-06,1.6177454774050535e-05]",1.6635551793572872e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
3,1,8772,4884,3888,8772,0,"[-4.9595216652688455e-06,0.03520536429694239]","[9.304724394309646e-06,1.0221505173551083e-05]",1.3822339312395444e-05,"[9.304724394309646e-06,1.0221505173551083e-05]",1.3822339312395444e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
3,2,72040,67145,4895,72040,0,"[-0.04303784225921926,3.968412967978964e-06]","[1.939834002906728e-05,3.5642027972060594e-06]",1.9723061057121064e-05,"[1.939834002906728e-05,3.5642027972060594e-06]",1.9723061057121064e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
3,3,7526,4483,3043,7526,0,"[0.043196304462931275,-6.029197455981166e-06]","[9.95845824762222e-06,1.0922846787558369e-05]",1.4781051133600383e-05,"[9.95845824762222e-06,1.0922846787558369e-05]",1.4781051133600383e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
4,0,52434,9834,42600,52434,0,"[8.604205681865992e-07,-0.03982653410822977]","[3.2418350298681045e-06,2.317021474787092e-05]",2.3395904466879134e-05,"[3.2418350298681045e-06,2.317021474787092e-05]",2.3395904466879134e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
4,1,8222,2300,5922,8222,0,"[1.8781262631835048e-06,0.03999433407482513]","[8.113151161947719e-06,1.0902488212104697e-05]",1.358997685765857e-05,"[8.113151161947719e-06,1.0902488212104697e-05]",1.358997685765857e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
4,2,12356,7897,4459,12356,0,"[-0.0400051787331599,-5.1796427578194226e-06]","[6.672874017202695e-06,8.943911343567298e-06]",1.1158888733697931e-05,"[6.672874017202695e-06,8.943911343567298e-06]",1.1158888733697931e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
4,3,70879,3172,67707,70879,0,"[0.03992322466507623,-4.4131920511996165e-06]","[1.3196400784717123e-05,3.732707315566387e-06]",1.3714156830609949e-05,"[1.3196400784717123e-05,3.732707315566387e-06]",1.3714156830609949e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),0.0004
