Reg,Act,n,n_r1,n_r2,n_fit,n_calibration,mean_delta,mean_conf_radius_vec,mean_conf_radius,predictive_radius_vec,predictive_radius,pruning_radius_semantics,stochasticity
1,0,915,564,351,915,0,"[-2.1464511996409933e-06,-0.03840185442908865]","[5.1352672050591866e-06,5.225771156944774e-06]",7.3266399837928645e-06,"[5.1352672050591866e-06,5.225771156944774e-06]",7.3266399837928645e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
1,1,4607,2627,1980,4607,0,"[-1.836915013069234e-06,0.03486671200899853]","[2.310801133066327e-06,0.0003206481622561693]",0.0003206564887229561,"[2.310801133066327e-06,0.0003206481622561693]",0.0003206564887229561,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
1,2,1170,633,537,1170,0,"[-0.03840018816483327,2.303999713343433e-06]","[4.566591430798567e-06,4.605889150294454e-06]",6.485982744399115e-06,"[4.566591430798567e-06,4.605889150294454e-06]",6.485982744399115e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
1,3,977,531,446,977,0,"[0.03784800082170609,3.5022761951083415e-06]","[0.00028686143822079013,4.8853668607762755e-06]",0.0002869030350962927,"[0.00028686143822079013,4.8853668607762755e-06]",0.0002869030350962927,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
2,0,1230,638,592,1230,0,"[-1.6728630933032289e-06,-0.04200071796653716]","[5.181265751417003e-06,4.4687055526613395e-06]",6.842137392890695e-06,"[5.181265751417003e-06,4.4687055526613395e-06]",6.842137392890695e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
2,1,4177,2060,2117,4177,0,"[1.815171778087899e-06,0.04066325429811813]","[2.8663504820127927e-06,0.00022366873110954763]",0.0002236870967249583,"[2.8663504820127927e-06,0.00022366873110954763]",0.0002236870967249583,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
2,2,1197,530,667,1197,0,"[-0.034976711946422094,-2.186350157187198e-06]","[0.000339507721547108,4.674721352795913e-06]",0.00033953990341318484,"[0.000339507721547108,4.674721352795913e-06]",0.00033953990341318484,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
2,3,1326,579,747,1326,0,"[0.03600489196464487,-1.2686889096083144e-06]","[5.114547803166299e-06,4.534125096734525e-06]",6.834975466211351e-06,"[5.114547803166299e-06,4.534125096734525e-06]",6.834975466211351e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
3,0,46384,39840,6544,46384,0,"[5.377876016456877e-07,-0.03503908170280795]","[7.930800936077965e-07,2.1626271031794497e-05]",2.1640808089706606e-05,"[7.930800936077965e-07,2.1626271031794497e-05]",2.1640808089706606e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
3,1,8598,5354,3244,8598,0,"[6.571176168765542e-07,0.03520150182568963]","[1.8581743460401324e-06,2.0898248813748437e-06]",2.796458462966159e-06,"[1.8581743460401324e-06,2.0898248813748437e-06]",2.796458462966159e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
3,2,71355,64811,6544,71355,0,"[-0.042906565885733994,4.5991186404311115e-07]","[2.6030543535492286e-05,7.152862357756925e-07]",2.6040369259137808e-05,"[2.6030543535492286e-05,7.152862357756925e-07]",2.6040369259137808e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
3,3,8275,4640,3635,8275,0,"[0.04320078001956925,-7.437506347354446e-07]","[1.888369804306703e-06,2.102205696024712e-06]",2.825811265144238e-06,"[1.888369804306703e-06,2.102205696024712e-06]",2.825811265144238e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
4,0,56561,12361,44200,56561,0,"[2.1405550591399058e-08,-0.03982397855438094]","[6.266636917526362e-07,2.192810150394579e-05]",2.193705410828698e-05,"[6.266636917526362e-07,2.192810150394579e-05]",2.193705410828698e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
4,1,7945,3072,4873,7945,0,"[-1.3353503523118996e-06,0.0400001809371388]","[1.638406914058007e-06,2.224231584591573e-06]",2.7625320555475587e-06,"[1.638406914058007e-06,2.224231584591573e-06]",2.7625320555475587e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
4,2,11624,7183,4441,11624,0,"[-0.04000132384274798,-2.891498154970828e-07]","[1.3767453041257582e-06,1.8414365368756517e-06]",2.299199023958761e-06,"[1.3767453041257582e-06,1.8414365368756517e-06]",2.299199023958761e-06,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
4,3,73659,4577,69082,73659,0,"[0.03988406807922611,-5.160183745733333e-07]","[1.552148564247978e-05,7.310429226994936e-07]",1.5538691717919335e-05,"[1.552148564247978e-05,7.310429226994936e-07]",1.5538691717919335e-05,L2 norm of the Student-t CI of the pooled R1/R2 mean delta (reformatting json.py),8e-05
